,Parameter,Unit,Value,Date edited,Linked Specialism,Comments
Main Wing,,,,,,
,Wing loading,N/m2,6385,21/10/2024,,
,Wing area S,m2,423,21/10/2024,,
,Span,m,63.4,21/10/2024,,
,taper ratio,,0.3,21/10/2024,,
,sweep angle ,degrees,25.8,21/10/2024,,
,AR,,9.5,21/10/2024,,
,Root chord,m,10.26,21/10/2024,,
,Tip chord,m,3.08,21/10/2024,,
,MAC,m,7.31,21/10/2024,,
,,,,,,
,wing incidence,degrees,1,21/10/2024,,
,,,,,,
,Aerofoil,,Naca 632615,21/10/2024,,
,CL_c,,0.52,21/10/2024,,
,CL_Max,,2.32,21/10/2024,,Need to change with respect to different stall speed
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Drag,CD_0_clean,,,,,
,CD_0_flaps ,,,,,
,CD_i_clean,,,,,
,are ,,,,,
